Material Budget Aluminum, Material Budget error, mean-squared deviation angle from reference beam, xerror
0.0002809935933460717,2.2479576213604187e-06,1.1477977441813791,
0.0010677756547150725,2.248076892475261e-06,3.8173294770543604,
0.0007867820613690009,2.2480183226292634e-06,2.580538998350028,
0.003034730808137575,2.2489836429852206e-06,11.328393240717865,
0.0022479487467685737,2.2485166500325953e-06,7.952488260336954,
0.006743846240305721,2.253054722921092e-06,26.738467938942584,
0.004495897493537147,2.250219499871072e-06,17.046094334723087,
0.015735641227380016,2.2756093424604336e-06,69.73907106068275,0.01096030713760565
0.011239743733842868,2.262103556976008e-06,46.22519705238067,0.0095251462753927
0.03371923120152861,2.3723035171673005e-06,172.79211701755412,0.010485623183709249
0.022479487467685737,2.3040462898211963e-06,103.30702362282989,0.009294033884468903
0.06743846240305722,2.711360397653211e-06,425.28760253396115,0.014634592734864529
0.044958974935371473,2.464689943635929e-06,259.61707608758104,0.008189213883764184
